차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,차량모델,제조사,가격
04도8614,17년03월(17년형),"80,534",디젤,오토,11.9,SUV,0,검정색,정보없음,없음,없음,211024051,QM62.0 4WD RE Plus,르노삼성,"1,699만원"
254보5287,19년03월(19년형),"71,544",가솔린,오토,정보없음,대형,"2,359",검정색,없음,없음,없음,20211029867,그랜저IG2.4 프리미엄 기본형,현대,"2,320만원"
19우6701,11년01월(11년형),"114,090",가솔린,오토,정보없음,대형,"2,656",진주색,없음,없음,없음,2021000908,K7VG270 럭셔리,기아,420만원
239러2742,13년11월(14년형),"88,080",디젤,오토,정보없음,SUV,"1,995",진주색,없음,없음,없음,2021003080,뉴쏘렌토R디젤 2.0 4WD 프레스티지 ,기아,"1,150만원"
45오2317,11년08월(12년형),"95,354",가솔린,오토,정보없음,중형,"1,998",진주색,없음,없음,없음,2020262334,K5가솔린 2.0 프레스티지,기아,520만원
69구8919,10년03월(10년형),"130,423",가솔린,CVT,정보없음,준중형,"1,598",흰색,없음,없음,없음,20211050754,뉴SM3PE ,르노삼성,340만원
73주3876,18년12월(19년형),"93,896",디젤,오토,정보없음,RV,"2,199",흰색,없음,없음,없음,2021027778,더 뉴 카니발11인승 2.2 디젤 프레스티지,기아,"1,850만원"
10거3633,17년04월(17년형),"46,034",디젤,오토,14.7,SUV,"1,597",흰색,없음,없음,없음,2021033627,티볼리디젤 LX 기본형,쌍용,890만원
276버2086,16년07월(16년형),"60,000",가솔린,오토,12.3,중형,"1,618",흰색,없음,없음,없음,2020248997,SM61.6 TCe RE ,르노삼성,"1,290만원"
276버2036,11년12월(12년형),"120,000",LPG,오토,정보없음,대형,"2,999",흰색,없음,없음,없음,2020248998,그랜저HGLPG HG300 이그젝큐티브,현대,950만원
276버2060,12년02월(12년형),"69,000",디젤,오토,정보없음,SUV,"1,995",흰색,없음,없음,없음,2020249943,스포티지 R2WD 디젤 TLX 최고급형,기아,590만원
46주8221,12년11월(12년형),"148,850",LPG,오토,정보없음,경차,0,은색,정보없음,없음,없음,211075334,쉐보레 스파크L 기본형,한국GM,250만원
71러3634,20년04월(20년형),"3,581",디젤,오토,정보없음,승합,"2,497",노랑,없음,없음,없음,2021043355,더 뉴 그랜드 스타렉스어린이보호차 12인승 ,현대,"2,299만원"
66우9411,12년09월(13년형),"98,733",디젤,오토,12.2,SUV,"1,998",검정,없음,없음,없음,2021049321,렉스턴W5인승 2WD RX7 럭셔리,쌍용,670만원
148두7151,17년02월(17년형),"88,664",가솔린,오토,9.9,대형,"2,999",검정,없음,없음,없음,20211074634,그랜저IG3.0 익스클루시브 스페셜,현대,"2,399만원"
192루4395,15년06월(15년형),"150,122",LPG,오토,정보없음,중형,"1,999",흰색,없음,없음,없음,2021051230,LF쏘나타LPI 모던 일반형,현대,760만원
17조7530,15년03월(15년형),"134,491",하이브리드(가솔린),오토,17.7,중형,"1,999",흰색,없음,없음,없음,1031001086,LF쏘나타 하이브리드2.0 HEV 프리미엄 ,현대,"1,330만원"
15무4541,09년10월(10년형),"102,991",가솔린,오토,정보없음,준중형,"1,591",회색,없음,없음,없음,2021020502,i301.6 VVT Luxury,현대,420만원
126두3034,16년10월(17년형),"97,907",디젤,오토,10.9,RV,"2,199",진주색,없음,없음,없음,2021030802,올 뉴 카니발9인승 2.2 디젤 프레스티지,기아,"1,950만원"
169주7518,14년09월(15년형),"105,704",디젤,오토,19,소형,"1,582",회색,없음,없음,없음,2021031002,엑센트(신형)1.6 VGT 모던,현대,650만원
84두1958,14년03월(15년형),"105,683",디젤,오토,정보없음,트럭,"2,497",흰색,없음,없음,없음,2021031102,포터2초장축 슈퍼캡 CRDi DLX 기본형,현대,"1,150만원"
12노2614,11년05월(12년형),"144,772",가솔린,오토,정보없음,경차,995,핑크,없음,없음,없음,2021079277,쉐보레 스파크LS 스타,한국GM,220만원
47거2993,15년04월(16년형),"40,438",가솔린,오토,정보없음,경차,998,진주색,없음,없음,없음,202104-008015,레이밴2인승밴 고급형,기아,760만원
124머5069,19년10월(20년형),"57,640",LPG,오토,정보없음,중형,"1,999",진주색,없음,없음,없음,2021019739,더 뉴 K5 2세대2.0 LPI 프레스티지,기아,"1,699만원"
168거5043,17년03월(17년형),"84,683",가솔린,오토,정보없음,경차,998,흰색,없음,없음,없음,2021080759,레이밴2인승밴 고급형,기아,640만원
362우6129,17년03월(17년형),"88,517",가솔린,오토,정보없음,경차,998,흰색,없음,없음,없음,2021080762,레이밴2인승밴 고급형,기아,650만원
65서6928,11년03월(12년형),"124,733",가솔린,오토,정보없음,경차,995,핑크,없음,없음,없음,2021080717,쉐보레 스파크LT 기본형,한국GM,270만원
16저6842,12년10월(13년형),"82,495",가솔린,오토,15,준중형,"1,598",흰색,없음,없음,없음,2021082783,뉴SM3RE 기본형,르노삼성,399만원
28노2361,11년04월(12년형),"109,517",가솔린,오토,14.2,소형,"1,598",흰색,없음,없음,없음,2021082835,쉐보레 아베오LT 최고급형,한국GM,370만원
354러5241,17년02월(17년형),"47,575",가솔린,오토,13.1,준중형,"1,591",쥐색,없음,없음,1 건,2021042120,아반떼AD1.6 GDi Value Plus ,현대,"1,220만원"
168거5032,17년03월(17년형),"67,183",가솔린,오토,정보없음,경차,998,흰색,없음,없음,없음,2021080752,레이밴2인승밴 고급형,기아,670만원
85누9296,14년07월(14년형),"121,761",디젤,오토,정보없음,트럭,0,회색,정보없음,없음,없음,2021018913,코란도 스포츠CX5 2WD 클럽,쌍용,950만원
223가7351,17년03월(17년형),"98,567",가솔린,오토,12.3,중형,"1,997",검정색,없음,없음,없음,2.02E+11,SM62.0 GDe SE ,르노삼성,"1,140만원"
71서4446,19년02월(19년형),"15,307",LPG,오토,정보없음,승합,0,노랑색,정보없음,없음,없음,2021000119,더 뉴 그랜드 스타렉스LPi 어린이보호차 12인승 ,현대,"2,120만원"
374어8749,15년11월(16년형),"369,430",LPG,오토,정보없음,중형,"1,998",쥐색,없음,없음,없음,2021085289,SM5 노바LPLi 택시/렌터카 고급형 ,르노삼성,370만원
63소7009,09년06월(09년형),"45,596",가솔린,오토,정보없음,소형,"1,399",은색,없음,없음,없음,2021086108,뉴프라이드4DR 1.4 DOHC LX ,기아,320만원
13두8994,11년06월(12년형),"72,927",가솔린,오토,정보없음,경차,995,블루펄,없음,없음,없음,2021086107,쉐보레 스파크LS 스타,한국GM,300만원
55거3291,09년10월(10년형),"107,762",가솔린,오토,정보없음,중형,0,흰색,정보없음,없음,없음,2020094020,YF쏘나타Y20 탑 최고급형,현대,590만원
241조5192,14년04월(15년형),"212,257",LPG,오토,정보없음,중형,"1,999",은색,없음,없음,없음,2021086843,LF쏘나타LPI 렌터카 스마트,현대,510만원
67노7631,10년03월(10년형),"308,587",가솔린,오토,정보없음,대형,"2,349",검정,없음,없음,없음,2021085107,SM7 뉴아트SE Pleasure ,르노삼성,190만원
50보0149,16년12월(17년형),"80,610",가솔린,CVT,정보없음,경차,999,흰색,없음,없음,없음,2021021933,더 넥스트 스파크LTZ C-TECH ,한국GM,699만원
168거5012,17년02월(17년형),"93,821",가솔린,오토,정보없음,경차,998,흰색,없음,없음,없음,2021086500,레이밴2인승밴 기본형,기아,599만원
66무8619,10년09월(11년형),"76,576",가솔린,오토,정보없음,경차,995,블루펄,없음,없음,없음,2021086111,마티즈 CREATIVEJAZZ 스타,한국GM,220만원
